description,specialization,lang
терміново!!! потрібно 5-7 презентацій для клієнта в павер поінті,Фирменный стиль,uk
Є десктопна програма на с# потрібно до неї дописати клієнт сервер програма типу музичнї вікторини потрібно відгадувати пісні вводячи їх назву,Прикладное программирование,uk
Потрібно розробити 3  банерів 1000*1000 для рекламы в інстаграм. Банера повинні мати збіг з рекламним текстом. Ціну і сроки вказувати обовязково,Баннеры,uk
Потрібна людина що займатиметься сторінкою у Facebook компанії яка займається продажем промислового холодильного обладнання.,Продвижение в социальных сетях (SMM),uk
"Хочу сайт, как у конкурента:",Сайт «под ключ»,uk
та правильної організації запуску сайту для подальшого просування та реклами https://tatwhell-auto.com.ua  Вимоги: досвід роботи з автотематикою,Копирайтинг,uk
Всі питання в телеграм suofeite23 або за тел0983862733,Встраиваемые системы,uk
Створити прайс лист на 200 позицій для вигрузки на розетці. Яка ціна і за який час виконаєти?  Тел.0683073565,Интернет-магазины,uk
по фото потрібно накреслити складальне креслення з специфікація на форматы. Формат А2 вертикальний робота в Компас не вище 12 версії,Чертежи/Схемы,uk
Нужен технический специалист  НЕ РЕФЕРАТ  Все в архиве...будут вопросы пишите.  обґрунтування вибору теми дослідження (висвітлюється зв’язок теми дисертації із сучасними дослідженнями у відповідній галузі знань шляхом критичного аналізу з визначенням сутності наукової проблеми або завдання);,Машиностроение,uk
"16. Задано список студентів з інформацією: прізвище, ім’я, рік народження, ріст, стать (перелічуваний тип даних). Вивести в алфавітному порядку прізвища студентів, ріст яких менший 1,70 та рік народження високосний.Бажано чим поскоріше",Прикладное программирование,uk
1. Впровадження нетипових конфігурацій. 2. Запровадження складського партійного обліку. 3. Розробка виробничих звітів із врахування фізико-хімічних показників. 4. Розрахунок виробничої собівартості продукту із прив'язкою до валютного курсу. 5. Розробка нетипових звітів із можливістю розшифрування статей витрат. 6. Налаштування обмінів між обліковими системами,1С программирование,uk
"Юридична фірма ОМП – одна з провідних компаній з юридичного обслуговування бізнесу в Україні! Наша мета – провести оновлення стилю та дизайну компанії враховуючи сучасні тенденції. Тому Ми шукаємо надійних партнерів з якими зможемо реалізувати свої цікаві ідеї! Якщо Ви дизайнер з креативним мисленням та бажанням не стандартно проявити своє бачення для юридичного бізнесу, ми запрошуємо Вас прийняти участь у нашому відборі.   Ми плануємо, в стислий термін, оновити презентаційну сторону нашого брендбуку, а в подальшому і сайту, використовуючи сучасні дизайнерські тренди. Тобто, потрібно промалювати фони шаблонів презентацій та меморандумів нашої компанії, починаючи від загальної візуалізації наших практик, закінчуючи галузевими чи окремими проектами.  Стисло про нас – інноваційна, екологічна, динамічна команда юристів, яка не шаблонно підходить до вирішення задач наших клієнтів. Ми також розробляємо та втілюємо власні проекти для бізнесу.  Попередньо, як ідея, ми б хотіли побачити візуалізацію нашого образу згідно таких стилістичних тематик: 1.	Інновації, технології та діджітал 2.	Сучасна українська етніка 3.	Екологія і всесвіт  Якщо Ви готові спробувати свої сили, то ми чекаємо на Ваші пропозиції та портфоліо Ваших попередніх робіт за адресою a.martyniuk@omp.ua та  gb@omp.ua , або за телефоном 0954976605",Презентация,uk
"Напрям компанії: 1.	Проектування електричних підстанцій 2.	Комплекс будівельно-монтажних робіт енергетичних об’єктів 3.	Повний комплекс пусконалагоджувальних робіт 4.	Повний комплекс робіт (під ключ) з проектування, монтажу та вводу в експлуатацію альтернативних джерел електрогенерації  http://kvkelectric.com.ua - для розуміння чим займається.",Электрика,uk
"ТЕРМІНОВО Потрібно відредагувати дипломну в Word Всі деталі в приват або на вайбер\ телеграм 0984051845  Потрібно відредагувати дипломну роботу по правилам методички (абзацний вісдтуп, розділи, переніс таблиць, інтервали і тп) 2 год орієнтовно, обовязкове вміння роботи в MS Word на високому рівні  Терміново!!! Актуально до обіду.",Редактирование/Корректура,uk
"Постинг (переважно англійською мовою) на тематичних форумах, сайтах-каталогах та ін. з метою просування, рекламування програмного забезпечення. Деталі по телеграм/вайбер/пошта",Поисковое продвижение (SEO),uk
"Ми команда веб-розробників, на данний момент шукаємо професійного та відповідального копірайтера для написання текстів для сайту. Сематичне ядро наявне. Ключові фрази надаємо. Вкажіть вашу ціну за 1000 зн. без пробілів. Прикріпіть для ознайомлення ваші роботи.",Копирайтинг,uk
Тз на почту пришлю,Наружная реклама,uk
"Доброго дня Є сайт на старій версії joomla 1.5, на сайті встановлений компонент joomleague в якому є багато проектів з статистикою,матчами,результатами. Також є галерея datsogalery в якій завантажано багато фоток. В загальному сайт важить прибизно 40 gb.  Завдання:: Потрібно зробити новий сайт на joomla або WP. Є компонент joomsport з якого потрібно перенести дані з теперешнього сайту на новий з аналогічним компонентом. також потрібна галерея яка підключається до гугл диску де і будуть зберігатись фото, потрібно перенести фото з теперешнього сайту на новий. Шаблон потрібен як в 4sport.sk",Сайт «под ключ»,uk
"Шукаємо програміста у Івано-Франківську, який зміг би зайнятися підтримкою сайту https://vodaclub.ua/",Доработка сайтов,uk
Створити інтернет - магазин. Бренд одягу українського дизайнера.  Мобільну версію.  Посування в топ.  Термін виконання сайту до 2 тижнів.,Дизайн сайта,uk
"Потрібно зробити веб сайт з нуля під ключ. Сайт представлятиме собою платформу, де ""зустрічається"" покупець та продавець (В2В). Будуть виставлятися каталоги, фото та контакти. Продажів на сайті не буде!",Сайт «под ключ»,uk
Щоденник потрібен до вечору завтра. Файл кріплю.  Буде описуватись робота в кадрах на підприємстві яке я потім напишу.,Редактирование/Корректура,uk
"Компания по разработке сайтов ""Місто"" нуждается в специалисте по поиску клиентов в Интернет.  Обязанности: Поиск по указанным нами критериям, потенциальных клиентов, желающих заказать новостные интернет-сайты или интернет-магазины и отправка таким клиентам коммерческих предложений.  График свободный, удаленная работа дома из любого города.  Требования: Ответственность, коммуникабельность, опыт работы в соцсетях.  Оплата (вознаграждение): 1000 грн. за каждого купившего услугу клиента.  тел. для справок:(Viber) - (098)5146887   Подробное описание вакансии ниже: =  Опис ваканції  Наша компанія займається створенням міських новинних сайтів та Інтернет-магазинів. Детальніше про нас, на наших сайтах www.misto.in.ua та www.online-shop.name   Нам потрібен спеціаліст, який буде по заданим нами критеріям (ми розкажемо як) шукати в соцмережах потенційних клієнтів і надсилати їм комерційні пропозиції.  Оплата - 1000 грн. за кожного клієнта, що замовив послугу по створенню сайта або Інтернет-магазина.  Як шукати клієнтів для міських сайтів?  Основна категорія клієнтів для міських сайтів це - адміністратори міських новинних спільнот в соцмережах (міські групи, сторінки в фейсбуку, ВК та ін.) Потрібно знаходити такі спільноти по назві міста, додавати в друзі, і писати їм повідомлення Текст може бути такий:  —————————————————————————————— Добрий день. Я представник сервісу misto.in.ua Ми створюємо міські сайти для заробітку на рекламі. Ми можемо створити новинний сайт Вашого міста на якому будуть новини в т.ч. з Вашої спільноти та реклама. Реклама на відвідуваному сайті це хороше джерело доходу. Оплата за створення сайту одноразова -2990 грн. Весь дохід від реклами Ваш! Детальніше на сайті www.misto.in.ua ——————————————————————————————  Як шукати клієнтів для Інтернет-магазинів?  Основна категорія клієнтів для Інтернет-магазинів це – продавці, у яких є велика к-сть товарів на сайтах оголошень http://olx.ua http://besplatra.ua http://ria.ua та ін. Щоб їх знайти, потрібно переглядати такі сайти, з метою пошуку людей, які займаються там бізнесом, продажем товарів (у таких людей велика к-сть товарів для продажу), їх може зацікавити створення Інтернет-магазина, для збільшення продажів їхніх товарів. Потрібно зареєструватись на цих дошках оголошень та писати вищевказаним клієнтам повідомлення. Текст може бути такий:  —————————————————————————————— Добрий день. Я представник сервісу www,online-shop,name Ми створюємо Інтернет-магазини під ключ. Бачу Ви займаєтесь продажами через Інтернет. Інтернет-магазин дозволить Вам вийти на новий рівень та збільшити прибутки. Перевагами продажів через Інтернет-магазин є: -	не обмежена кількість товарів -	наявність каталогу товарів -	пошук товарів -	оформлення замовлення одразу -	можливість рекламувати та просувати в Інтернет свій магазин - престижність  Професійний Інтернет-магазин коштує всього 4990 грн. Ми також можемо перетворити в Інтернет-магазин ваші оголошення всього за 990",Интернет-маркетинг,uk
Потрібно розв‘язати 4 задачі з предмету «Оптимізаційні методи і моделі». Срок - вівторок до кінця дня.,Технические дисциплины,uk
"Шукаю копірайтера для роботи в соц. мережах.  Потрібна людина, яка має досвід в проектах зв'язаних з туризмом . Продукт унікальний, недешевий, дитячий. Наш посил - екстримальний туризм, тури вихідного дня. Тексти потрібні українською. Подробиці особисто.",Копирайтинг,uk
Написання текстів для соціальних мереж,Копирайтинг,uk
"Вести сторінки в Інстаграм та Фейсбук. Збільшення к-ть підписників, цільової аудиторії.Комплексна реклама магазину на постійній основі. Проведення акцій, співпраця з блогерами.Організація інтернет продажів через інстаграм,ФБ. Досвід обов'язковий.",Интернет-маркетинг,uk
"ВАШІ ПРИКЛАДИ (СХОЖИХ) ВИКОНАНИХ РОБІТ Основа така як на прикладі : https://hotels24.ua/uk/ невелика кількість фільтрів,фото-короткий опис-ціна-контакти(ном.тел.,емейл та сайт. рубрики: Буковель,Яремче,Славське,Трускавець,Поляна,ДОДАТИ ОГОЛОШЕННЯ ,розміщення на сайті ,блог  зручне додавання оголошення АДМІНОМ приклади в приват",Сайт «под ключ»,uk
Для логопедичних занять пацієнтів з порушенням мови потрібно створити додаток українською мовою (по прикладу схожих готових продуктів зроблених для США). Пиклади схожих додаткыв скину.,,uk
"Шукаю людину, яка б дала вичарпну консультацію по MailChimp. Дзвоніть, пишіть на вайбер і тг 0734553512",Интернет-маркетинг,uk
"Необхідно створити тему для wordpress. За основу взяти цей сайт https://www.landc.co.uk/#collapse-meganav Тема повинна бути готова для wpml плагіну. collapse-meganav меню як у сайті прикладі робити не потрібно. Зробити звичайне drop down menu.Кнопку меню видалити Необхідно зробити головну сторінку. Шаблон для новини, 404, кастомну сторінку https://www.landc.co.uk/first-time-buyers/. В темі є канкулятори, js логіка розрахунку для них не потрібна, лише верстка. Також необхідно додати елементи з цього сайту https://www.hypotheekadviseur.nl/ . Показав на скріншотах. Логіка розрахунку на js не потрібна, лише анімація переключення і верстка. Сайт повинен бути mobile responsive. Ціну і термін пропонуйте.",Верстка,uk
В курсовій роботі потрібно виконати завдання в додатку С в програмі С++(1) і оформити курсову. Термін виконання 3-5 днів,1С программирование,uk
Визначення центра  мас фігури,Технические дисциплины,uk
"Договір має захищати інтереси орендаря. Орендодавець фізособа, виникає пдфо і т.д., тому ціна оренди буде занижена, Необхідно вписати механізм захисту орендаря: штрафи абощо.",Юридические услуги,uk
"Робота на постійній основі, ціна за хвилину відео 50 грн. Готовий шаблон для відео дається. Буде невелике тестове завдання (1-2 слайди). Залишайте номер, напишу у Viber або Telegram.  Відео такого типу: https://drive.google.com/file/d/11XO5I7sbkhaT1sk5yQmSD0G19ABp1UpI/view?usp=sharing",Видеомонтаж,uk
Доброго дня! Потрібно збільшити кількість лідів та заявок для рекламної агенції.,Интернет-маркетинг,uk
"Загальнi вимоги БД має близько 5 таблиць. Можна бiльше, але не варто, адже занадто об’ємна робота. Для БД використовувати патерн DAO. Для розвертання БД використовувати Liquibase. БД має бути розподiленою: Oracle, MySQL, PostgreSQL. Web server можна використовувати glassFish чи Tomcat (будь-який веб-сервер, що пiдтримує Java).   Вся информация в файле",Сайт «под ключ»,uk
"Шукаю декількох спеціалістів для розробки сайту зі стеком Laravel, VueJS, Docker, PHP, Python  Тривалість: 3+ місяці з можливою подальшою співпрацею. Всі деталі проектів + ТЗ надішлю після заявки з очікуваннями по рейту.",Веб-программирование,uk
"сайт впав, залишився тільки домен",Доработка сайтов,uk
"сайт впав, залишився лише домен",Доработка сайтов,uk
"Потрібно розробити анімовану відеозаставку 3-5 секунд, яка буде використовуватись перед усіма промо-відеороликами. Портфоліо обовязкове.",Видеодизайн,uk
"Доброго дня! Я початківець у веб-розробці. Мені потрібна віддалена робота у галузі верстальщик чи Junior Wordpress developer / Junior Frontend developer. Готовий працювати за мінімальний бюджет для здобуття досвіду. Мої навички: • JavaScript • TypeScript • HTML/CSS/SASS (Bootstrap3/4, Flexbox) • PHP (basic knowledge of the OOP and arrays) • Wordpress (верстка для cms, натяжка теми на Wordpress) • Gulp, Github, Bitbucket Також працював з Angular Js / 7 та Ionic 4 (співрозробником мобільного додатку на Android).",Веб-программирование,uk
Виконати чітко по методичці. Там є план та рекомендації. Підприємство будь-яке.  План Вступ. 1.  Формування параметрів інвестиційного проекту. 1.1 Сутність інвестиційного проекту та умови його здійснення. 1.2 Обґрунтування джерел фінансування. 1.3 Формування платіжних потоків по проекту. 2.  Розрахунок показників економічної ефективності інвестиції. 3.   Фінансовий план інвестиції. 4.  Оцінка й урахування впливу ризику в інвестиційному проекті. 4.1 Класифікація ризиків. 4.2 Вимір і урахування впливу ризику. 4.3 Визначення граничних параметрів інвестиційного проекту 5.  Розробка інвестиційної пропозиції. 6.  Рекламний проспект.        Висновок,Рефераты / Курсовые / Дипломы,uk
"Привіт! Нам потрібно щоб ви реалістично зняли ролики з нашим текстом (завчили і перерозказали від себе) ролики від 15 сек до 60 секунд. Це буде реклама нового товару. Все культурно.  Не дорого + освітлення і камера мають бути якісними,  Hd формат (айфон і дорогі андроїди).",Диктор,uk
"Потрібно зробити креслення металевого каркасу арки, розмір 3м*3м. Бажано графічно.",Макетирование,uk
"Потрібен перекладач з англійської мови на виїзд в м. Буча (можливий трансфер) На 2 дні : 27.05.19 - 28.05.19рр.  Робочий день 7-8 годин. Потрібен усний переклад з англійської мови. Робота з іноземцем. Це обговорення проекту, та призначення (зазделегіть сформульованих) завдань. Напрям, бізнес-мовлення та просування продукту.",,uk
"Привіт, шукаю людину на довготривалу співпрацю.  Оскільки є велика кількість клієнтів,  Потрібно працювати з GTM, GA, G Adwords, контекстна реклама + ретаргетинг  Працюємо по трекеру TimeDoctor В обов'язок входить: - створення рекламної компанії - оптимізація(налаштування) рекламної компанії - аналітика та введення рекламних компаній.  Чекаю від ваш: Ваш досвід погодинна ставка",Контекстная реклама,uk
Потрібно доробити сайт в редакторі  Ward Press. Медіа ресурс - .Регітональньні новини: статті +фото + відео,Доработка сайтов,uk
"Написати ,,Шибеницю,, на C++(Мета гри:вгадати слово,загадане комп‘ютером.Правила гри:Можна вибирати будь-яку літеру.Якщо така буква є,всі аналогічні букви в слові будуть відкриті) Термін:до 2 днів,щоб працювала на ,,CodeBlocks,,.написати з поясненням.",Программирование игр,uk
Деталі скину в телеграммі  63 657 0284,Проектирование,uk
потрібно зробити  - відібрати фото  - корекція світла  -корекція кольору -ретуш   - колаж - верстка альбому - друк альбому  кінцевий результат  Весільний Альбом,Поисковое продвижение (SEO),uk
"Компанія Yan Mall Solutions - студія що допомагає клієнтам розвивати свій інтернет-бізнес. Нашими клієнтами є підприємці та фірми які започатковують ведення бізнесу в інтернеті, розробляють сайти та інтернет магазини, інтегрують срм системи та нові технології в онлайн продажах, бажають просунути свої послуги та продукти в мережі інтернет. Більше інформації про нас на сайті http://www.yanmall.pro . У зв'язку з розширенням напрямів ми шукаємо креативного SMM, Google Adwords менеджера, для роботи над проектами наших клієнтів. Робота - повний робочий день в нашому комфортному офісі у Львові.  Бажані вимоги до кандидата: •	досвід роботи з просування сторінок в соц. мережах - facebook, instagram; •	вміння налаштовувати рекламні кампанії в соц. мережах - facebook, instagram; •	вміння працювати з сервісами налаштування рекламних кампаній та аналітики такими як Google Adwords, Analitycs та іншими; •	пунктуальність, старанність, ініціативність; •	бажання і готовність працювати на результат; •	володіння письмовою українською та російською мовами на впевненому рівні; •	досконале знання комп'ютерних та інтернет сервісів, програм, доповнень, вміння швидко розібратися в новому; •	наявність сертифікатів від Adwords буде перевагою. написання контент-плану під соц. мережі для різних видів бізнесу •	налаштування та підтримка рекламних кампаній Google Adwords, Facebook Ads •	робота з Google Analitycs  Ми готові взяти амбіційну, креативну людину, яка має фундамент знань та досвід в сфері інтернет-маркетингу і прагне вдосконалюватись в цьому напрямі. Якщо Ви відповідаєте цим критеріям - ви наш ідеальний кандидат. Відправляйте нам резюме і ми відповімо вам якомога швидше!  Пропонуємо: Оплачуваний випробувальний термін 1 місяць; Комфортне робоче місце в гарному офісі, кава, чай, печенько; Цікаві проекти, можливість кар'єрного і фінансового росту;  Більше деталей на співбесіді.  Запитання пишіть в коментарях!",Продвижение в социальных сетях (SMM),uk
Потрібно зробити тематичні стікери ІТ сфера,Логотипы,uk
"Потрібно оформлення курсової роботи с програмування, програма вже є написана, залишилось тільки оформити. Можу скинути методичку,як оформляти і програму.",Прикладное программирование,uk
"Потрібно зробити оригінальний дизайн та друк візитки,  наклейки. Тема ,,Натяжні стелі,,. Також оформлення сторінки fb та instagram  0960809455 viber",Полиграфический дизайн,uk
Уникальность не ниже 81%.Размер минимум 10 стр.За деталями пишите на ел.пошту. Шляхи вдосконалення діяльності митних посередників при переміщенні товарів через митний кордон України,Статьи,uk
"Маємо:  1. Назву, логотип, корпоративні кольори ;   2. Домен та хостинг ;  3. Шаблон WooCommerce https://www.templatemonster.com/ua/woocommerce-themes/63000.html ;  4. Сайти, на які орінтуємось при розробці магазину:  а) www.dushka.ua  b) www.tatcha.com ;   Потрібно:  1. Установити шаблон і движок ;  2. Конфігурація таких елементів:  а) налаштування ""my accaunt"" ; b) каталог продукції ; c) оплата (інтеграція APIs LiqPay) ; d) доставка (інтеграція APIs Nova Poshta) ; e) допоміжні розділи ;   Варінт співпраці 1.  Технічна реалізація проекта, та налашування (без розробки дизайну)  Варінт співпраці 2. Інтернет-магазин ""під ключ"".  P.S.  Чекаю на ваші пропозиції, прохання мати приклади робіт по данній тематиці.",Интернет-магазины,uk
Потрібен адміністратор на постійну роботу для впровадження ідей :) Не повна зайнятість,1С программирование,uk
"Необхідно просувати сайт та товари в інтернеті, якісно, швидко",Контекстная реклама,uk
"Потрібна курсова на тему ""Розрахунок оптимального плану розкрою листової сталі для виробництва автомобілів.""",Рефераты / Курсовые / Дипломы,uk
"- потрібно сайт-візитівку (в т.ч. мобільну версію), наявний макет - наявний сайт-конкурентної компанії як орієнтир - супровід по просуванню, період 6 місяців - віддам перевагу співпраці із компанією",Сайт «под ключ»,uk
"Потрібна людина з хорошим зннанням англійської та російської мови мови. Тема: логістика, курси для диспечерів Обов'язки: написання нових статей і додавання їх на наші сайти. Статті повинні бути унікальні не скопійованими з інших ресурсів. Розмір сттаті 350-450 слів плюс фото. Оплата 1.5$ за одну статтю.",Тексты на иностранных языках,uk
Треба переналаштувати рекламу сайту в інтернеті.,Контекстная реклама,uk
"Потрібно створити розкладку клавіатури (на основі латиниці) для мови, якої немає у стандартних налаштуваннях Windows. Розкладка повинна містити такі букви:  Aa, Bb, Cc, Ćć, Čč, Dd, D́d́, Ee, Ff, Gg, Hh, Ii, Jj, Kk, Ll, Ĺĺ, Mm, Nn, Ńń, Oo, Pp, Rr, Ŕŕ, Ss, Śś, Šš, Tt, T́t́, Uu, Vv, Zz, Źź, Žž.   На виході потрібно мати інсталяху, яку можна встановити на Windows 7, 8, 10 і вільно користуватися новою розкладкою клавіатури. Наприклад, затискаєш Ctrl+Alt+n = ń",Интерактивные приложения,uk
"Потрібно перекласти на Польську мову СЕО описів для інтернет магазину http://vurobukarpat.com.ua/ Маємо біля 100 підрозділів, в кожному підрозділі від 700-3000 символів приблизно. Надсилайте ваші пропозиції, орієнтовну вартість ваших послуг. ТЗ вишлю окремо.",Тексты на иностранных языках,uk
Необхідно зробити короткий опис(відгук) про компанію. Вартість - 15-20 грн,Копирайтинг,uk
"Мають використовуватись:  -symfony Flex(7.2) -baza dannych (mysql) -HTML (5 версія) -CSS 1 сторінка виконує одну функцію(логування, реєстрація і тд має бути написана на різних сторінках) Має бути 3 види користувачів : -зареєстрований  -не зареєстрований  -адміністратор  Адміністратор має право надавати і забирати права адміністратора у інших користувачів, мати привілегії на сайті Зареєстрований користувач має право переглядати усі пости які є доступні на сайті, особисту сторінку, має право розміщати щось, писати коментарі, оцінювати фотографії, модифікувати свій профіль  Не зареєстрований користувач має прово тількі на перегляд фотографій з проханням зареєструватись   По виконанню кожної дії сторінка має надавати відповідний комунікат до користувача   Можливість зміна паролю користувача, перегляд профілю, зміна данних   Будування бази данних за допомогою PHP В базі данних:  - 1 таблиця з назвою ""users"" -  login i password  - 2 таблиця з назвою role -  admin user visitor",Проектирование,uk
"Необхідно розробити сайт на PHP з можливістю відображення поточної суми на банківському рахунку з онлайн відображенням поповнень. Також  повиння бути реєстрація користувачів, додавання коментарів та голосуванням. Важливо: Час виконання до двох тижднів .",Сайт «под ключ»,uk
"Ввести зі стандартного пристрою вводу довільне число. Обчислити п’ять перших цілих степеней цього числа використовуючи мінімальне число множень. Вивести на стандартний пристрій виводу число та його степені у цілочисельних десятковому, вісімковому і шіснадцятковому форматах та у форматі з плаваючою комою. Дані подати таблицею де степені числа розміщені в стовпець а формати представлення в рядок. При виконанні завдання використовувати функції scanf() та printf().",Системное программирование,uk
